provincia_id;provincia_nombre;anio;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas;cantidad_victimas_masc;cantidad_victimas_fem;cantidad_victimas_sd;tasa_hechos;tasa_victimas;tasa_victimas_masc;tasa_victimas_fem
3;Catamarca;2023;12;Muertes en accidentes viales;59;62;54;8;0;13.853505;455.792;25.325005;3.7619264
3;Catamarca;2018;13;Otros delitos contra la integridad sexual;300;300;31;263;6;73.502029;73.502029;15.179113;128.96962
3;Catamarca;2020;13;Otros delitos contra la integridad sexual;234;234;12;204;18;56.326096;56.326096;5.773.896;9.833.883
3;Catamarca;2023;13;Otros delitos contra la integridad sexual;356;356;8;300;48;83.590637;83.590637;3.7518525;1.107.225
3;Catamarca;2023;13;Otros delitos contra la integridad sexual;252;252;5;208;39;59.170902;59.170902;2.3449078;9.783.089
3;Catamarca;2018;14;Otros delitos contra la libertad;133;133;47;86;0;32.585899;32.585899;23.013494;42.172573
3;Catamarca;2018;14;Otros delitos contra la libertad;133;133;47;86;0;32.585899;32.585899;23.013494;42.172573
3;Catamarca;2020;14;Otros delitos contra la libertad;29;29;11;17;1;69.805.811;69.805.811;5.2901654;8.1925735
3;Catamarca;2020;14;Otros delitos contra la libertad;29;29;11;17;1;69.805.811;69.805.811;5.2901654;8.1925735
3;Catamarca;2023;14;Otros delitos contra la libertad;151;151;50;94;7;35.455582;35.455582;23.449078;44.202637
3;Catamarca;2023;14;Otros delitos contra la libertad;151;151;50;94;7;35.455582;35.455582;23.449078;44.202637
3;Catamarca;2018;15;Otros delitos contra las personas;83;812;24;598;0;198.45547;198.9455;3.478.485;293.24649
3;Catamarca;2020;15;Otros delitos contra las personas;238;238;43;193;2;57.288933;57.288933;20.679739;93.009804
3;Catamarca;2023;15;Otros delitos contra las personas;2304;2307;340;1911;26;5.409.939;51.169.556;159.45374;912.73743
3;Catamarca;2018;16;Suicidios (consumados);44;44;29;15;0;11.771599;11.771599;15.546264;8.013.655
3;Catamarca;2020;16;Suicidios (consumados);48;48;39;9;0;12.595483;12.595483;20.498913;4.716116
3;Catamarca;2023;16;Suicidios (consumados);56;56;50;6;0;4.293.116;4.293.116;25.55179;30.591.139
3;Catamarca;2023;17;Tentativa de abuso sexual con acceso carnal;1;1;0;1;0;.23480517;.23480517;0;.4702408
4;Cordoba;2023;1;Abuso sexual agravado;19;19;2;15;2;.49059731;.49059731;.3543363;.7594699
4;Cordoba;2023;2;Abuso sexual simple;286;292;35;195;62;7.3847804;7.5397062;1.8450885;9.868.938
4;Cordoba;2018;3;Abusos sexuales con acceso carnal (violaciones);201;206;23;172;11;5.4561195;5.5918436;1.277357;9.132.694
4;Cordoba;2020;3;Abusos sexuales con acceso carnal (violaciones);23;217;17;195;5;5.5844378;5.770586;.9243791;3.151.819
4;Cordoba;2023;3;Abusos sexuales con acceso carnal (violaciones);225;229;4;191;24;5.8097053;5.9129887;.73803538;9.6664715
4;Cordoba;2023;4;Ciberdelitos sexuales vinculados a menores;35;35;4;6;25;.90373188;.90373188;.2386726;.30365878
4;Cordoba;2018;5;Delitos contra el honor;35;38;6;31;1;.95007056;1.0315051;.33322355;1.6460084
4;Cordoba;2020;5;Delitos contra el honor;39;40;11;23;6;1.03711;1.0637025;.59795219;1.197394
4;Cordoba;2023;5;Delitos contra el honor;49;49;11;35;3;1.2652247;1.2652247;.57988495;1.7713429
4;Cordoba;2018;6;Homicidios culposos por otros hechos;18;20;15;5;0;.4886077;.54289746;.83305889;.26548523
4;Cordoba;2020;6;Homicidios culposos por otros hechos;3;12;12;0;0;.26592562;.3191375;.6523144;0
4;Cordoba;2023;6;Homicidios culposos por otros hechos;19;20;18;2;0;.49059731;.51611822;.94890267;.3121959
4;Cordoba;2018;7;Homicidios dolosos;32;38;80;28;0;2.7687769;2.9316461;4.4429808;1.4867172
4;Cordoba;2020;7;Homicidios dolosos;120;121;95;25;1;3.191.375;3.2177;51.611.326;1.3015152
4;Cordoba;2023;7;Homicidios dolosos;115;116;89;27;0;2.9694047;2.9952257;4.6917963;1.3664645
4;Cordoba;2018;8;Homicidios dolosos en grado de tentativa;9;9;8;1;0;.24430385;.24430385;.44429806;.053097043
4;Cordoba;2020;8;Homicidios dolosos en grado de tentativa;3;3;2;1;0;.079777688;.079777688;.3871857;.052060612
4;Cordoba;2023;8;Homicidios dolosos en grado de tentativa;1;1;0;1;0;.025820911;.025820911;0;.050609797
4;Cordoba;2018;9;Lesiones culposas en Accidentes Viales;8395;3068;5530;2866;1672;227.88121;273.29459;3.071.233;152.17613
4;Cordoba;2020;9;Lesiones culposas en Accidentes Viales;5282;5925;3785;1964;176;4.046.191;157.56093;205.74991;3.224.704
4;Cordoba;2023;9;Lesiones culposas en Accidentes Viales;7799;8428;3332;2319;2777;201.37729;217.61864;175.65242;11.736.112
4;Cordoba;2018;10;Lesiones culposas por otros hechos;636;699;348;346;5;17.261.139;18.974266;19.326965;18.371578
4;Cordoba;2020;10;Lesiones culposas por otros hechos;505;535;253;201;81;13.429244;422.702;13.7529;3.461.183
4;Cordoba;2023;10;Lesiones culposas por otros hechos;611;682;282;267;133;16.551205;17.609861;486.611;13.512815
4;Cordoba;2018;11;Lesiones dolosas;844;8640;4480;3848;312;228.39696;234.53169;248.80692;204.31743
4;Cordoba;2020;11;Lesiones dolosas;6069;6362;3219;2926;217;161.39026;169.18188;174.98254;152.32935
4;Cordoba;2023;11;Lesiones dolosas;6591;6879;3497;2876;506;170.18562;177.62206;184.35069;4.555.377
4;Cordoba;2018;12;Muertes en accidentes viales;44;453;359;92;2;11.237977;12.296627;19.937876;4.8849282
4;Cordoba;2020;12;Muertes en accidentes viales;295;329;276;53;0;7.8448057;8.7489529;15.003163;2.7592125
4;Cordoba;2023;12;Muertes en accidentes viales;371;113;337;75;1;9.5795584;3.664.037;17.765566;3.7957349
4;Cordoba;2018;13;Otros delitos contra la integridad sexual;692;716;121;563;32;18.784252;19.435728;6.7200084;29.893637
4;Cordoba;2020;13;Otros delitos contra la integridad sexual;767;775;48;560;67;20.396496;20.609236;8.0451746;29.153942
4;Cordoba;2023;13;Otros delitos contra la integridad sexual;834;844;76;473;295;21.534639;21.792849;4.0064778;23.938435
4;Cordoba;2023;13;Otros delitos contra la integridad sexual;480;484;35;243;206;12.394037;12.497321;1.8450885;12.298181
4;Cordoba;2018;14;Otros delitos contra la libertad;1318;1332;483;700;49;35.776943;36.156971;26.824495;37.167931
4;Cordoba;2018;14;Otros delitos contra la libertad;134;1324;478;700;46;35.668362;35.939812;26.54681;37.167931
4;Cordoba;2020;14;Otros delitos contra la libertad;1139;1158;465;433;260;30.288929;30.791.188;25.277069;22.542244
4;Cordoba;2020;14;Otros delitos contra la libertad;1137;1156;465;433;258;30.235743;3.074.301;25.277069;22.542244
4;Cordoba;2023;14;Otros delitos contra la libertad;861;906;254;300;352;22.231804;23.393745;13.390071;15.18294
4;Cordoba;2023;14;Otros delitos contra la libertad;857;864;247;291;326;22.128521;22.309267;1.302.353;4.727.451
4;Cordoba;2018;15;Otros delitos contra las personas;37290;38326;11827;24652;1847;3.122.323;3.403.544;656.83917;1308.9484
4;Cordoba;2020;15;Otros delitos contra las personas;32165;32792;9828;20765;2199;855.34973;872.02332;534.2431;3.810.386
4;Cordoba;2023;15;Otros delitos contra las personas;28020;28176;7333;16320;4523;723.50195;727.52997;386.57239;825.9519
4;Cordoba;2018;16;Suicidios (consumados);255;255;194;61;0;7.5260959;7.5260959;11.769088;3.5060997
4;Cordoba;2020;16;Suicidios (consumados);197;197;158;35;4;5.6859555;5.6859555;9.3636894;1.9692703
4;Cordoba;2023;16;Suicidios (consumados);289;289;226;63;0;8.0772934;8.0772934;1.295.044;3.4373393
4;Cordoba;2023;17;Tentativa de abuso sexual con acceso carnal;4;4;0;4;0;.3649275;.3649275;0;.70853716
4;Cordoba;2018;18;Trata de personas agravado;1;1;0;0;1;.02744872;.02744872;0;0
4;Cordoba;2020;18;Trata de personas agravado;1;1;0;0;1;.026592562;.026592562;0;0
4;Cordoba;2023;18;Trata de personas agravado;1;1;0;1;0;.025820911;.025820911;0;.050609797
4;Cordoba;2018;19;Trata de personas simple;3;7;5;0;2;.08434615;.1900111;.2776863;0
4;Cordoba;2020;19;Trata de personas simple;1;1;0;0;1;.026592562;.026592562;0;0
4;Cordoba;2023;19;Trata de personas simple;3;11;7;8;26;.077462733;1.0586574;.36901769;.40487838
5;Corrientes;2023;1;Abuso sexual agravado;18;18;0;1;17;1.5670829;1.5670829;0;.17191111
5;Corrientes;2023;2;Abuso sexual simple;261;261;3;18;240;22.722702;22.722702;.52916121;3.0943999
5;Corrientes;2018;3;Abusos sexuales con acceso carnal (violaciones);67;79;19;60;0;6.0849128;7.1747479;3.4980743;3.754.076
5;Corrientes;2020;3;Abusos sexuales con acceso carnal (violaciones);43;43;4;117;12;12.758733;12.758733;2.5315266;20.606754
5;Corrientes;2023;3;Abusos sexuales con acceso carnal (violaciones);113;113;2;9;32;9.8377981;9.8377981;.35277111;1.5472
5;Corrientes;2023;4;Ciberdelitos sexuales vinculados a menores;1;1;0;0;1;.087060161;.087060161;0;0
5;Corrientes;2018;5;Delitos contra el honor;4;4;0;4;0;.36327836;.36327836;0;.71693838
5;Corrientes;2020;5;Delitos contra el honor;8;9;4;5;0;.71377522;.80299717;.7232933;.88063055
5;Corrientes;2023;5;Delitos contra el honor;3;3;0;0;3;.26118049;.26118049;0;0
5;Corrientes;2018;6;Homicidios culposos por otros hechos;6;6;2;4;0;.54491758;.54491758;.36821833;.71693838
5;Corrientes;2020;6;Homicidios culposos por otros hechos;36;36;15;21;0;3.2119887;3.2119887;2.7123499;3.6986482
5;Corrientes;2023;6;Homicidios culposos por otros hechos;31;31;0;0;31;2.6988649;2.6988649;0;0
5;Corrientes;2018;7;Homicidios dolosos;26;27;20;7;0;2.3613093;2.4521289;3.6821835;1.2546421
5;Corrientes;2020;7;Homicidios dolosos;38;40;29;11;0;3.3904324;3.5688763;5.2438765;1.9373872
5;Corrientes;2023;7;Homicidios dolosos;11;43;31;12;0;3.5694666;3.743587;5.467999;2.0629332
5;Corrientes;2018;8;Homicidios dolosos en grado de tentativa;21;22;12;3;0;1.907.214;1.998031;2.209.331;1.792346
5;Corrientes;2020;8;Homicidios dolosos en grado de tentativa;6;8;8;0;0;.5353343;.71377522;1.4465866;0
5;Corrientes;2023;8;Homicidios dolosos en grado de tentativa;24;24;5;1;18;2.0894439;2.0894439;.8819353;.17191111
5;Corrientes;2018;9;Lesiones culposas en Accidentes Viales;848;944;555;301;88;77.015015;85.733696;3.218.059;53.949612
5;Corrientes;2020;9;Lesiones culposas en Accidentes Viales;376;422;272;131;19;33.547436;37.651646;49.183945;23.072519
5;Corrientes;2023;9;Lesiones culposas en Accidentes Viales;811;811;28;23;760;70.605789;70.605789;4.938838;3.9539554
5;Corrientes;2018;10;Lesiones culposas por otros hechos;360;366;112;246;8;32.695053;33.239971;20.620228;44.091709
5;Corrientes;2020;10;Lesiones culposas por otros hechos;355;357;208;48;1;31.673777;31.852221;37.611252;26.066664
5;Corrientes;2023;10;Lesiones culposas por otros hechos;6;6;0;0;6;.52236098;.52236098;0;0
5;Corrientes;2018;11;Lesiones dolosas;1513;1615;644;896;75;1.374.305;4.667.365;118.56631;16.059.119
5;Corrientes;2020;11;Lesiones dolosas;1139;1159;393;627;139;3.162.375;3.340.819;71.063568;134.337
5;Corrientes;2023;11;Lesiones dolosas;2568;2568;63;122;2383;223.5705;223.5705;11.112385;20.973154
5;Corrientes;2018;12;Muertes en accidentes viales;78;30;66;33;1;7.0839281;9.0819588;12.151205;5.947.115
5;Corrientes;2020;12;Muertes en accidentes viales;39;45;38;7;0;3.4796543;4.049.856;6.8712864;1.2328827
5;Corrientes;2023;12;Muertes en accidentes viales;82;94;80;4;0;7.1389332;8.1836548;113.965;2.4067554
5;Corrientes;2018;13;Otros delitos contra la integridad sexual;243;284;37;219;28;22.06916;25.792765;6.8120394;39.252377
5;Corrientes;2020;13;Otros delitos contra la integridad sexual;134;135;7;117;11;11.955735;12.044957;1.2657633;20.606754
5;Corrientes;2023;13;Otros delitos contra la integridad sexual;382;382;3;24;355;33.256981;33.256981;.52916121;4.1258664
5;Corrientes;2023;13;Otros delitos contra la integridad sexual;91;91;0;4;87;7.9224749;7.9224749;0;.68764442
5;Corrientes;2018;14;Otros delitos contra la libertad;72;87;36;47;4;6.539.035;7.9013047;6.6279302;8.4240265
